Name,EIN,IRS 501(c) type,City,State,Total revenues
California Rural Legal Assistance (CRLA),95-2428657,501(c)(3),Modesto,CA,"$34,144,676"
California Rural Legal Assistance Foundation,94-2800442,501(c)(3),Sacramento,CA,"$7,705,233"
Center on Race Poverty & Environment (CRPE),05-0557231,501(c)(3),Delano,CA,"$2,083,620"
Center for Workers' Rights,46-5613782,501(c)(3),Sacramento,CA,"$869,688"
Central Coast Alliance United for a Sustainable Economy,77-0578864,501(c)(3),Ventura,CA,"$2,653,510"
Centro Binacional Para El Desarrollo Indigena Oaxaqueno,77-0337939,501(c)(3),Fresno,CA,"$4,749,956"
Comite Civico Del Valle (CCV),33-0411322,501(c)(3),Brawley,CA,"$3,930,817"
Community Action Board,94-2523780,501(c)(3),Watsonville,CA,"$12,322,457"
Organizacion en California de Lideres Campesinas,95-4611282,501(c)(3),Oxnard,CA,"$3,923,940"
Alianza Nacional de Campesinas,47-3486630,501(c)(3),Oxnard,CA,"$11,141,757"
MixtecoIndigena Community Organizing Project,30-0045901,501(c)(3),Oxnard,CA,"$10,788,043"
North Bay Jobs With Justice,81-1374240,501(c)(3),Santa Rosa,CA,"$1,883,725"
Todec Legal Center Perris,33-0711527,501(c)(3),Moreno Valley,CA,"$9,068,863"
United Farm Workers Foundation (UFWF),95-2703575,501(c)(3),Los Angeles,CA,"$68,377,263"
AFL-CIO - United Farm Workers of America,94-1448579,501(c)(5),Keene,CA,"$8,338,381"
Universidad Popular,84-3537906,501(c)(3),San Marcos,CA,
The Watsonville Law Center,20-8157214,501(c)(3),Watsonville,CA,"$963,102"
California Farmworker Foundation,81-3960575,501(c)(3),Delano,CA,"$2,966,541"
Farmworkers Institute Educational Leadership (FIELD),95-3276531,501(c)(3),Tehachapi,CA,"$23,140,825"
Rising Farmworker Dream Fund,77-0572762,501(c)(3),Mountain View,CA,"$3,061"
Center for Farmworker Families,90-0800339,501(c)(3),Felton,CA,"$500,065"
Farmworkers Communciations,95-3793469,501(c)(3),Keene,CA,
California Farmworker Information Center,92-3653892,501(c)(4),Sacramento,CA,"$647,000"
Napa Valley Farmworker Foundation,36-4790851,501(c)(3),Napa,CA,"$2,179,591"
Juan Garcia Farmworker Scholarship,46-3603640,501(c)(3),Los Angeles,CA,"$101,549"
Farmworker Enterprise Foundation,20-8486206,501(c)(3),Clovis,CA,"$7,113"
La Cooperativa Campesina De California,68-0329821,501(c)(3),Sacramento,CA,"$38,516,346"
Village of Hope International,81-4855340,501(c)(3),Visalia,CA,"$420,649"
Steward Ag Foundation,86-3418229,501(c)(3),Walnut Grove,CA,"$82,348"
Hijas Del Campo,86-3224204,501(c)(3),Brentwood,CA,"$436,730"
Connect the Valley,84-2954462,501(c)(3),Parlier,CA,"$1,819,183"
California Human Development Corporation,94-1653023,501(c)(3),Santa Rosa,CA,"$19,008,409"
Target Eight Advisory Council,94-1733955,501(c)(3),Orange Cove,CA,"$2,868,138"
Sodhani Foundation,47-5268267,501(c)(3),San Francisco,CA,"$147,451"
Farmers and Farm Workers United for Fairness - Education,84-2172501,501(c)(4),Sacramento,CA,
E Richard Jones Family Foundation Mr E Richard Jones,94-3288860,501(c)(3),Calistoga,CA,"$582,110"
Proteus,94-2184330,501(c)(3),Visalia,CA,"$21,403,375"
Central Valley Opportunity Center (CVOC),94-2581331,501(c)(3),Winton,CA,"$11,537,860"
Pueblo Unido CDC,26-3547211,501(c)(3),La Quinta,CA,"$2,834,229"
Alianza Coachella Valley,84-1966709,501(c)(3),Coachella,CA,"$2,458,408"
